appName,userName,reviews,rating,at,category
Lazada | Bebas Pengiriman,Adul Ebet,dirumh,5,2024-10-18 21:21:37,Shopping
Lazada | Bebas Pengiriman,Syarif Rate,oke,5,2024-10-18 21:18:40,Shopping
Lazada | Bebas Pengiriman,Rafky Ramadhan,sangat membantu,5,2024-10-18 21:17:06,Shopping
Lazada | Bebas Pengiriman,Santo Forever87,diskon ditingkatkan kembali,5,2024-10-18 21:16:05,Shopping
Lazada | Bebas Pengiriman,Rizky Aria,Pelayanan bagus mantep,5,2024-10-18 21:15:33,Shopping
Lazada | Bebas Pengiriman,Manda Mndawr,siip,5,2024-10-18 21:13:24,Shopping
Lazada | Bebas Pengiriman,Rinto Apri,bagus,5,2024-10-18 21:10:58,Shopping
Lazada | Bebas Pengiriman,Nina Pebriani,kenapa saya setiap beli di online pasti beda barang nya sama yang di fotonya saya pas itu beli mukena tapi malah polos gak ada gambarnya sedangkan di foto nya ada gambar nya,1,2024-10-18 21:09:09,Shopping
Lazada | Bebas Pengiriman,Rau Anhy,saya meminjam dengan baik bukan untuk secara keburukannya aku sayang kok agama ku saya takut juga kok mengajukan kalo misalnya tiada tanggung jawab ku tapi aku bertanggung jawab karna saya kerja panen sawit perusahaan,5,2024-10-18 21:07:20,Shopping
Lazada | Bebas Pengiriman,Aziz Bae,mantap,5,2024-10-18 21:03:34,Shopping
Lazada | Bebas Pengiriman,Syar Burma,lazada the best,5,2024-10-18 21:02:33,Shopping
Lazada | Bebas Pengiriman,Ningsih Ninig,Ok,5,2024-10-18 21:00:25,Shopping
Lazada | Bebas Pengiriman,Rizizard atara Risal,baik,5,2024-10-18 20:58:52,Shopping
Lazada | Bebas Pengiriman,Mbakgi Aews,aromanya bikin saya merasa nyaman,5,2024-10-18 20:57:11,Shopping
Lazada | Bebas Pengiriman,Widiyanti 85,Oke,5,2024-10-18 20:55:15,Shopping
Lazada | Bebas Pengiriman,Desy Bae,oke,5,2024-10-18 20:52:54,Shopping
Lazada | Bebas Pengiriman,Ode Ismail kaimudin,puas,5,2024-10-18 20:50:25,Shopping
Lazada | Bebas Pengiriman,Linda,👍👍👍👍,5,2024-10-18 20:48:33,Shopping
Lazada | Bebas Pengiriman,Dhanie. Atomi,solusi belanja,5,2024-10-18 20:47:17,Shopping
Lazada | Bebas Pengiriman,Dedy Couxer,"Lazpaylater di bekukan Mulu udah nungguin sebulan baru aktif di pake 100,000 di bekukan lagi suruh nunggu sebulan lagi limitnya 1,8 Ngeselin",1,2024-10-18 20:46:11,Shopping
Lazada | Bebas Pengiriman,Tawhid BBY,tolong pihak lazada maksdnya apa sudah pesen sudah tranfer ko malah di batalin pesenanya sedangkan uang gak kembali maksd aplikasi ini apa,2,2024-10-18 20:45:47,Shopping
Lazada | Bebas Pengiriman,Yusep che toge Yusep,bagus,5,2024-10-18 20:44:16,Shopping
Lazada | Bebas Pengiriman,FALLEND Mty,GG!!!!!!,5,2024-10-18 20:44:11,Shopping
Lazada | Bebas Pengiriman,Dewi Sri Anjani,👍bagus,5,2024-10-18 20:41:19,Shopping
Lazada | Bebas Pengiriman,Ucu Nur,baik dan bagus,4,2024-10-18 20:40:55,Shopping
